cluster;count;top_words;negative_score;sample;negativity_ratio;insight
1;642;['greate', 'aplication', 'greattt', 'appplication', 'ever', 'stuff', 'greatt'];0;great;0.0;greate / aplication / greattt / appplication / ever / stuff / greatt
47;57;[];0;wow;0.0;
34;58;[];0;very good;0.0;
35;262;['wonderful', 'wonderfull'];0;nice;0.0;wonderful / wonderfull
36;53;[];0;good;0.0;
37;52;[];0;good;0.0;
38;106;[];0;good;0.0;
39;148;[];0;good;0.0;
40;69;[];0;nice app;0.0;
41;55;[];0;good;0.0;
42;100;['wonderful', 'wonderfull', 'wonderfulllll', 'underbart'];0;wonderful;0.0;wonderful / wonderfull / wonderfulllll / underbart
43;109;['thank', 'thanks', 'sharing', 'friends', 'guys', 'noice', 'coming'];0;thank you;0.0;thank / thanks / sharing / friends / guys / noice / coming
44;51;[];0;good;0.0;
45;52;[];0;good;0.0;
46;108;['amazing'];0;good app;0.0;amazing
48;51;[];0;good;0.0;
32;92;['super'];0;good;0.0;super
49;55;['amazing'];0;amazing;0.0;amazing
50;57;[];0;good;0.0;
51;80;[];0;good;0.0;
52;103;[];0;good;0.0;
53;96;[];0;good;0.0;
54;135;['amazing', 'super', 'exceptional', 'incredible', 'phenomenal', 'thats', 'need'];0;amazing app;0.0;amazing / super / exceptional / incredible / phenomenal / thats / need
55;263;['super', 'actually', 'lowkirkenuinly', 'somehow', 'itss', 'forediting'];0;its good;0.0;super / actually / lowkirkenuinly / somehow / itss / forediting
56;230;['best', 'exceptional', 'truly', 'exceptionnel', 'excellent', 'exciting', 'amazing'];0;nice app;0.0;best / exceptional / truly / exceptionnel / excellent / exciting / amazing
57;181;['best'];0;very good;0.0;best
58;141;[];0;nice  app;0.0;
59;79;['amezing', 'amzing', 'work', 'school', 'other', 'memes', 'working'];0;nice;0.0;amezing / amzing / work / school / other / memes / working
60;52;['best'];0;best;0.0;best
61;62;[];0;good;0.0;
33;191;['really', 'ever', 'niceapp', 'recomendable', 'fixtures', 'cool', 'wonderful'];0;very nice app;0.0;really / ever / niceapp / recomendable / fixtures / cool / wonderful
31;51;[];0;good;0.0;
63;52;[];0;nice;0.0;
15;88;['best'];0;good;0.0;best
2;956;['excellent', 'average', 'excellente', 'condition', 'above', 'excellentp', 'indeed'];0;excellent;0.0;excellent / average / excellente / condition / above / excellentp / indeed
3;55;[];0;nice app;0.0;
4;51;['amazing'];0;amazing;0.0;amazing
5;87;['best'];0;best;0.0;best
6;54;['best'];0;best add;0.0;best
7;152;['change', 'here', 'damn', 'loves', 'decisions'];0;i love it;0.0;change / here / damn / loves / decisions
8;452;['awesome', 'awesomeness', 'awesomee', 'awesomeee', 'dude', 'inspired', 'awesomeeeee'];0;awesome;0.0;awesome / awesomeness / awesomee / awesomeee / dude / inspired / awesomeeeee
9;54;[];0;good;0.0;
10;172;['helpful', 'exceptionally', 'indeed', 'help', 'useful', 'source'];0;very helpful;0.0;helpful / exceptionally / indeed / help / useful / source
11;100;[];0;good;0.0;
12;51;[];0;good;0.0;
13;54;[];0;good;0.0;
14;53;[];0;good;0.0;
16;226;['super', 'sanam', 'reply'];0;super;0.0;super / sanam / reply
30;73;['super'];0;nice;0.0;super
17;130;['sork', 'hallah', 'think', 'damm', 'lovel', 'well', 'yaar'];0;so good;0.0;sork / hallah / think / damm / lovel / well / yaar
18;640;['kids', 'tlga'];0;very nice;0.0;kids / tlga
19;58;[];0;good;0.0;
20;331;['edatiors', 'yall', 'overall', 'little'];0;great app;0.0;edatiors / yall / overall / little
21;113;['cool', 'verry', 'cooll', 'teson', 'coolbeans'];0;cool;0.0;cool / verry / cooll / teson / coolbeans
22;56;['application', 'appli', 'aplikasi', 'applicants'];0;good application;0.0;application / appli / aplikasi / applicants
23;97;[];0;nice;0.0;
24;99;[];0;good;0.0;
25;58;[];0;good;0.0;
26;54;[];0;good;0.0;
27;107;[];0;good;0.0;
28;92;[];0;good;0.0;
29;201;['superb', 'superbbbb', 'simply', 'superbb', 'superrbbbbb', 'unparalleled', 'excellently'];0;superb;0.0;superb / superbbbb / simply / superbb / superrbbbbb / unparalleled / excellently
62;52;[];0;good;0.0;
65;77;['super'];0;super;0.0;super
128;80;['appo', 'nick'];0;good app;0.0;appo / nick
113;128;[];0;nice;0.0;
100;98;[];0;good;0.0;
101;93;[];0;good;0.0;
102;58;[];0;good;0.0;
103;101;[];0;good;0.0;
104;54;['perfect'];0;perfect;0.0;perfect
105;163;['best', 'place'];0;the best;0.0;best / place
106;142;[];0;good;0.0;
107;67;[];0;good;0.0;
108;61;[];0;nice;0.0;
109;108;[];0;good;0.0;
110;55;['best'];0;best;0.0;best
111;55;[];0;good;0.0;
112;58;[];0;good;0.0;
114;188;[];0;good;0.0;
